kernel,gpu__time_duration.sum,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,dram__throughput.avg.pct_of_peak_sustained_elapsed,sm__warps_active.avg.pct_of_peak_sustained_active,launch__occupancy_limit_blocks,launch__occupancy_limit_registers,launch__occupancy_limit_shared_mem,launch__occupancy_limit_warps,launch__registers_per_thread,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,dram__bytes.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum
"void kernel_trsm_l_mul32<float, 8, 1, 1, 0, 0>(int, int, const T1 *, const T1 *, int, T1 *, int, T1, int)",250.944,250.944,51.644655,51.644655,,38.850383,16.0,5.0,7.0,4.0,44.0,,,,
volta_sgemm_128x64_upper_tn,149.792,149.792,37.582629,19.221507,,12.492869,16.0,4.0,5.0,8.0,122.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.984,37.984,0.549478,0.549478,,97.835885,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",19.872,19.872,36.376864,36.376864,,37.586219,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",29.632,29.632,47.70739,47.70739,,65.5239,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.824,37.824,0.550951,0.550951,,97.843344,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",19.36,19.36,34.447608,34.447608,,35.077964,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",29.44,29.44,43.046007,43.046007,,61.448393,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.984,37.984,0.548838,0.548838,,97.808585,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",19.712,19.712,31.451432,31.451432,,32.588629,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",29.504,29.504,37.202048,37.202048,,58.870525,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.824,37.824,0.550856,0.550856,,97.831453,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",19.84,19.84,29.349592,29.349592,,30.140791,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",28.32,28.32,33.518671,33.518671,,52.22471,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.856,37.856,0.549284,0.549284,,97.603538,16.0,2.0,128.0,1.0,22.0,,,,
